year,bikes_count,docks_count,name,Borough
2014.0,0,18,"Broadley Terrace, Marylebone",Unknown
2010.0,1,16,"Nesham Street, Wapping",Tower Hamlets
2010.0,1,16,"Curzon Street, Mayfair",Unknown
2010.0,1,16,"Old Quebec Street, Marylebone",Unknown
2010.0,1,16,"Carey Street, Holborn",Unknown
2011.0,1,15,"Marloes Road, Kensington",Unknown
2010.0,2,16,"Horseferry Road, Westminster",Westminster
2010.0,2,18,"Earnshaw Street , Covent Garden",Unknown
,2,18,"Manresa Road, Chelsea",Unknown
2010.0,3,18,"Central House, Aldgate",Unknown
2012.0,3,17,"Portman Square, Marylebone",Unknown
2010.0,4,19,"Gloucester Road (Central), South Kensington",Unknown
2010.0,4,21,"Westbourne Green, Westbourne",Unknown
2010.0,4,20,"Nevern Place, Earl's Court",Unknown
,4,18,"St Martins Close, Camden Town",Unknown
2012.0,7,21,"Stepney Green Station, Stepney",Tower Hamlets
,7,21,"Ladbroke Grove Central, Ladbroke Grove",Unknown
2013.0,7,23,"Montserrat Road , Putney",Wandsworth
2010.0,8,22,"Emperor's Gate, South Kensington",Unknown
2010.0,8,22,"Clifton Road, Maida Vale",Unknown
2010.0,9,24,"Albert Embankment, Vauxhall",Lambeth
2022.0,9,24,"Blythe Road, Olympia",Hammersmith & Fulham
2013.0,9,24,"Austin Road, Battersea Park",Wandsworth
2010.0,10,24,"Riverlight North, Nine Elms",Wandsworth
2010.0,10,27,"Tooley Street, Bermondsey",Southwark
2010.0,10,24,"Prince Albert Road, The Regent's Park",Camden
2013.0,11,26,"William Morris Way, Sands End",Hammersmith & Fulham
2014.0,12,26,"Humbolt Road, Fulham",Hammersmith & Fulham
2010.0,13,27,"Bayswater Road, Hyde Park",Unknown
2013.0,13,27,"Heath Road, Battersea",Lambeth
,13,27,"Coomer Place, West Kensington",Hammersmith & Fulham
2013.0,14,28,"South Park, Sands End",Hammersmith & Fulham
2013.0,14,28,"Clapham South, Clapham South",Lambeth
2010.0,15,29,"Finsbury Library , Finsbury",Islington
2012.0,16,31,"Lightermans Road, Millwall",Unknown
2012.0,17,33,"Burdett Road, Mile End",Tower Hamlets
2010.0,20,36,"Fanshaw Street, Hoxton",Hackney
2010.0,0,16,"Red Lion Square, Holborn",Camden
2010.0,0,17,"Wood Street, Guildhall",Unknown
