year,bikes_count,docks_count,name
2010,17,26,"Great Russell Street, Bloomsbury"
2013,17,24,"Chicheley Street, South Bank"
2018,17,25,"St John's Crescent, Brixton"
2012,19,28,"Jubilee Street, Stepney"
2010,21,28,"Bricklayers Arms, Borough"
2011,21,31,"Eaton Square (South), Belgravia"
2013,21,28,"Clarence Walk, Stockwell"
2010,22,30,"Taviton Street, Bloomsbury"
2010,22,30,"Fashion Street, Whitechapel"
2012,25,34,"Christian Street, Whitechapel"
2010,29,36,"Waterloo Station 1, Waterloo"
2013,30,37,"Haggerston Road, Haggerston"
2010,31,41,"Shoreditch High Street, Shoreditch"
2010,2,10,"Royal Avenue 1, Chelsea"
2011,3,13,"Palace Gate, Kensington Gardens"
2010,4,13,"Rochester Row, Westminster"
2010,7,16,"South Wharf Road, Paddington"
2011,7,16,"Shouldham Street, Marylebone"
2010,8,21,"Scala Street, Fitzrovia"
2010,8,19,"Northington Street , Holborn"
2010,8,18,"St. John Street, Finsbury"
2010,9,18,"Bell Street , Marylebone"
,9,18,"Aberdeen Place, St. John's Wood"
2013,10,18,"Felsham Road, Putney"
2013,10,19,"Finnis Street, Bethnal Green"
2014,10,18,"Elgin Avenue, Maida Hill"
,13,23,"Alpha Grove, Millwall"
2011,14,24,"Columbia Road, Shoreditch"
2013,14,22,"Mile End Stadium, Mile End"
2012,15,24,"Garnet Street, Shadwell"
2010,17,26,"Queen Mother Sports Centre, Victoria"
2013,17,25,"Simpson Street, Clapham Junction"
2018,19,28,"Drummond Street , Euston"
,19,28,"Green Park Station, Mayfair"
2013,19,27,"Culvert Road, Battersea"
2018,19,27,"Sidney Road, Stockwell"
,20,30,"Antill Road, Mile End"
2016,24,32,"Albert Square, Stockwell"
2012,27,36,"Fisherman's Walk West, Canary Wharf"
2011,4,15,"Gloucester Road Station, South Kensington"
,5,17,"Gunmakers Lane, Old Ford"
2010,6,16,"Rathbone Street, Fitzrovia"
2010,7,17,"The Guildhall, Guildhall"
2010,8,18,"Roscoe Street, St. Luke's"
2010,8,17,"Sadlers Sports Centre, Finsbury"
2010,10,21,"Panton Street, West End"
2010,10,20,"Finsbury Leisure Centre, St. Luke's"
2011,10,21,"Turquoise Island, Notting Hill"
,11,20,"Abingdon Green, Westminster"
2013,11,20,"Holden Street, Battersea"
2012,13,23,"Canton Street, Poplar"
2013,14,23,"Star Road, West Kensington"
2012,15,24,"Walmer Road, Avondale"
2013,15,24,"Eel Brook Common, Walham Green"
2013,15,24,"Newton Street, Covent Garden"
2010,18,28,"Park Lane , Hyde Park"
2010,19,32,"Endsleigh Gardens, Euston"
2012,21,30,"Philpot Street, Whitechapel"
2010,29,38,"Bethnal Green Road, Shoreditch"
2010,5,16,"Paddington Street, Marylebone"
2010,5,16,"Montpelier Street, Knightsbridge"
2011,5,15,"Snow Hill, Farringdon"
2010,6,17,"Campden Hill Road, Notting Hill"
2010,6,18,"Chadwell Street, Angel"
2010,7,19,"Green Street, Mayfair"
,7,18,"Newby Place, Poplar"
2010,8,20,"Lambeth North Station, Waterloo"
2010,9,21,"Clapham Common Station, Clapham Common"
,9,21,"South Lambeth Road, Vauxhall"
2013,9,19,"Sugden Road, Clapham"
2010,10,23,"Beaumont Street, Marylebone"
2010,10,24,"Black Lion Gate, Kensington Gardens"
2012,10,20,"Napier Avenue, Millwall"
,11,21,"Northdown Street, King's Cross"
2014,12,23,"Westbourne Park Road, Portobello"
2010,13,23,"North Wharf Road, Paddington"
2010,14,27,"Drury Lane, Covent Garden"
2010,14,24,"Clifton Street, Shoreditch"
2012,14,24,"Bethnal Green Garden, Bethnal Green"
2012,14,24,"Bromley High Street, Bow"
2014,14,24,"The Vale, Chelsea"
,15,26,"Greenberry Street, St.John's Wood"
2010,16,27,"Murray Grove , Hoxton"
2010,16,26,"Graham Street, Angel"
2012,17,27,"Hoxton Street, Hoxton"
2013,17,28,"Grant Road East, Clapham Junction"
2015,17,27,"Monier Road, Hackney Wick"
2013,18,29,"Lansdowne Road, Ladbroke Grove"
2013,18,28,"Dorothy Road, Clapham Junction"
2012,19,29,"Stebondale Street, Cubitt Town"
2013,19,30,"Peterborough Road, Sands End"
2010,21,32,"Claverton Street, Pimlico"
2016,28,40,"Podium, Queen Elizabeth Olympic Park"
2010,31,45,"Webber Street , Southwark"
,33,44,"Caldwell Street, Stockwell"
2011,34,45,"Southwark Station 2, Southwark"
2010,4,15,"Chelsea Green, Chelsea"
2010,5,16,"Kingsway, Covent Garden"
2010,6,18,"Broadwick Street, Soho"
2010,6,17,"Greycoat Street , Westminster"
,6,18,"Drayton Gardens, West Chelsea"
,7,19,"Rotherhithe Roundabout, Rotherhithe"
2013,7,25,"Spencer Park, Wandsworth Common"
,8,20,"Bishop's Bridge Road East, Bayswater"
2012,9,20,"Hansard Mews, Holland Park"
2013,10,21,"Blythe Road West, Shepherd's Bush"
2014,10,21,"Prince of Wales Drive, Battersea Park"
2014,10,21,"Rifle Place, Avondale"
2020,10,22,"George Row, Bermondsey"
2010,11,23,"Great Percy Street, Clerkenwell"
,11,22,"Thurtle Road, Haggerston"
2013,11,24,"Lots Road, West Chelsea"
2018,11,26,"Gas Holders, Battersea Park"
2012,12,25,"St. Mary & St. Michael Church, Stepney"
2013,12,24,"St. Peter's Terrace, Fulham"
2010,13,25,"Harriet Street, Knightsbridge"
2012,13,24,"St. Katharine's Way, Tower"
,13,27,"Fulham Park Road, Fulham"
2013,13,24,"Clarendon Road, Avondale"
2018,13,24,"Cranmer Road, Stockwell"
,16,27,"Heron Quays DLR, Canary Wharf"
2010,17,30,"Dock Street, Wapping"
,19,30,"Colet Gardens, Hammersmith"
2010,21,33,"New Kent Road, The Borough"
2012,22,33,"Parkway, Camden Town"
2012,25,39,"Import Dock, Canary Wharf"
2010,31,42,"Harper Road, The Borough"
,32,45,"Union Grove, Wandsworth Road"
2010,1,18,"Derry Street, Kensington"
2010,1,16,"Wardour Street, Soho"
2010,4,16,"Eversholt Street , Camden Town"
2010,4,17,"Grosvenor Square, Mayfair"
2011,4,18,"Frith Street, Soho"
2010,5,18,"St. Martin's Street, West End"
2010,6,20,"St Mary's Hospital, Paddington"
2010,6,18,"Kensington Town Hall, Kensington"
,7,21,"Ilchester Gardens, Bayswater"
2010,8,21,"Clerkenwell Green, Clerkenwell"
,12,24,"Abbotsbury Road, Holland Park"
2013,13,26,"Ravenscourt Park Station, Hammersmith"
2013,13,26,"Orbel Street, Battersea"
2013,14,28,"Westbridge Road, Battersea"
2016,14,26,"Riverlight South, Nine Elms"
2010,15,28,"Wenlock Road , Hoxton"
2010,15,27,"Harrington Square 1, Camden Town"
2013,15,28,"Queensdale Road, Shepherd's Bush"
2013,16,28,"Stewart's Road, Wandsworth Road"
2017,16,28,"Allington Street, Victoria"
2013,17,29,"Putney Bridge Road, East Putney"
2010,18,30,"Hardwick Street, Clerkenwell"
2013,18,30,"Spanish Road, Clapham Junction"
2010,23,36,"London Zoo Car Park, The Regent's Park"
2013,23,35,"Hartington Road, Stockwell"
2013,24,37,"Greyhound Road, Hammersmith"
2010,26,41,"Berry Street, Clerkenwell"
2010,0,15,"South Audley Street, Mayfair"
2011,0,13,"Exhibition Road Museums 1, South Kensington"
2013,2,18,"Bridge Avenue, Hammersmith"
2010,3,16,"Farringdon Lane, Clerkenwell"
2010,3,18,"Claremont Square, Angel"
2010,3,17,"Union Street, The Borough"
2010,3,18,"Smith Square, Westminster"
2011,3,16,"Moor Street, Soho"
2011,3,16,"George Place Mews, Marylebone"
2012,3,16,"Clarges Street, Mayfair"
2010,4,19,"Bolsover Street, Fitzrovia"
2010,4,18,"Porchester Place, Paddington"
2010,6,22,"Park Road (Baker Street), The Regent's Park"
2010,6,20,"Paddington Green, Paddington"
2019,6,21,"Bonner Gate, Victoria Park"
2010,7,20,"Long Lane , Bermondsey"
2010,7,21,"Warwick Row, Westminster"
2010,8,22,"Pall Mall East, West End"
2010,8,22,"New North Road 2, Hoxton"
2013,8,21,"St. Mark's Road, North Kensington"
2013,8,22,"West Kensington Station, West Kensington"
2013,8,21,"Duke Street Hill, London Bridge"
2010,9,22,"King Edward Walk, Waterloo"
2013,9,24,"Stainsby Road , Poplar"
2015,10,25,"Imperial Wharf Station, Sands End"
2010,11,24,"Cotton Garden Estate, Kennington"
2010,11,24,"Bermondsey Street, Bermondsey"
2012,11,24,"Cephas Street, Bethnal Green"
2010,12,27,"Howick Place, Westminster"
2012,12,27,"Vauxhall Walk, Vauxhall"
2010,13,26,"Chepstow Villas, Notting Hill"
2010,13,27,"Seville Street, Knightsbridge"
2010,14,27,"Swan Street, The Borough"
2013,15,28,"Ashley Crescent, Battersea"
2010,17,33,"Flood Street, Chelsea"
2010,19,32,"London Zoo,  The Regent's Park"
2012,19,33,"Albert Gardens, Stepney"
,21,35,"Queensbridge Road, Haggerston"
2016,21,35,"Lambeth Palace Road, Waterloo"
2010,31,47,"Kennington Cross, Kennington"
2010,0,15,"Aldersgate Street, Barbican"
2011,0,14,"Southampton Street, Strand"
2012,0,14,"Exhibition Road Museums 2, South Kensington"
2014,0,18,"Broadley Terrace, Marylebone"
2010,1,16,"Nesham Street, Wapping"
2010,1,16,"Curzon Street, Mayfair"
2010,1,16,"Old Quebec Street, Marylebone"
2010,1,16,"Carey Street, Holborn"
2011,1,15,"Marloes Road, Kensington"
2010,2,16,"Horseferry Road, Westminster"
2010,2,18,"Earnshaw Street , Covent Garden"
,2,18,"Manresa Road, Chelsea"
2010,3,18,"Central House, Aldgate"
2012,3,17,"Portman Square, Marylebone"
2010,4,19,"Gloucester Road (Central), South Kensington"
2010,4,21,"Westbourne Green, Westbourne"
2010,4,20,"Nevern Place, Earl's Court"
,4,18,"St Martins Close, Camden Town"
2012,7,21,"Stepney Green Station, Stepney"
,7,21,"Ladbroke Grove Central, Ladbroke Grove"
2013,7,23,"Montserrat Road , Putney"
2010,8,22,"Emperor's Gate, South Kensington"
2010,8,22,"Clifton Road, Maida Vale"
2010,9,24,"Albert Embankment, Vauxhall"
2022,9,24,"Blythe Road, Olympia"
2013,9,24,"Austin Road, Battersea Park"
2010,10,24,"Riverlight North, Nine Elms"
2010,10,27,"Tooley Street, Bermondsey"
2010,10,24,"Prince Albert Road, The Regent's Park"
2013,11,26,"William Morris Way, Sands End"
2014,12,26,"Humbolt Road, Fulham"
2010,13,27,"Bayswater Road, Hyde Park"
2013,13,27,"Heath Road, Battersea"
,13,27,"Coomer Place, West Kensington"
2013,14,28,"South Park, Sands End"
2013,14,28,"Clapham South, Clapham South"
2010,15,29,"Finsbury Library , Finsbury"
2012,16,31,"Lightermans Road, Millwall"
2012,17,33,"Burdett Road, Mile End"
2010,20,36,"Fanshaw Street, Hoxton"
2010,0,16,"Red Lion Square, Holborn"
2010,0,17,"Wood Street, Guildhall"
2010,0,15,"Houghton Street, Strand"
2010,0,15,"South Kensington Station, South Kensington"
2011,0,15,"Farm Street, Mayfair"
