year,start_station_name,num_rides
2015,"Hoxton Station, Hoxton",9105
2015,"Hoxton Street, Hoxton",8862
2015,"Humbolt Road, Fulham",8647
2015,"Hurlingham Park, Parsons Green",3424
2015,"Hyde Park Corner, Hyde Park",95740
2015,"Ilchester Gardens, Bayswater",14137
2015,"Ilchester Place, Kensington",3851
2015,"Imperial College, Knightsbridge",19164
2015,"Imperial Road, Sands End",10872
2015,Imperial Wharf Station,4378
2015,"Ingrave Street, Battersea",635
2015,"Ingrave Street, Clapham Junction",2225
2015,"Irene Road, Parsons Green",7178
2015,"Islington Green, Angel",28304
2015,"Jewry Street, Aldgate",12959
2015,"Jubilee Crescent, Cubitt Town",4051
2015,"Jubilee Gardens, South Bank",25765
2015,"Jubilee Plaza, Canary Wharf",16816
2015,"Jubilee Street, Stepney",11692
2015,"Kennington Cross, Kennington",19538
2015,"Kennington Lane Rail Bridge, Vauxhall",25277
2015,"Kennington Lane Tesco, Vauxhall",7901
2015,"Kennington Oval, Oval",12485
2015,"Kennington Road  , Vauxhall",11110
2015,"Kennington Road Post Office, Oval",7074
2015,"Kennington Station, Kennington",6723
2015,"Kensington Church Street, Kensington",20095
2015,"Kensington Gore, Knightsbridge",10442
2015,"Kensington Olympia Station, Olympia",6147
2015,"Kensington Town Hall, Kensington",6087
2015,"Killick Street, King's Cross",5151
2015,"Killick Street, Kings Cross",1881
2015,"King Edward Street, St Pauls",8922
2015,"King Edward Walk, Waterloo",4004
2015,"Kingsway Southbound, Strand",13004
2015,"Kingsway, Covent Garden",938
2015,"Knaresborough Place, Earl's Court",10142
2015,"Knightsbridge, Hyde Park",14780
2015,"LMU Commercial Road, Whitechapel",15302
2015,"LSBU (Borough Road), Elephant & Castle",7068
2015,"Ladbroke Grove Central, Ladbroke Grove",2556
2015,"Ladbroke Grove Central, Notting Hill",896
2015,"Lambeth North Station, Waterloo",10636
2015,"Lambeth Road, Vauxhall",7461
2015,"Lancaster Drive, Blackwall",3094
2015,"Lancaster Gate , Bayswater",14554
2015,"Langdon Park, Poplar",2724
2015,"Lansdowne Road, Ladbroke Grove",11940
2015,"Lansdowne Walk, Ladbroke Grove",2037
2015,"Lansdowne Walk, Notting Hill",827
2015,"Leman Street, Aldgate",23946
